column,dtype,rows,null_count,null_rate,distinct_count,distinct_rate
_id,str,10000,0,0.0,10000,1.0
key,str,10000,0,0.0,10000,1.0
created,str,10000,0,0.0,10000,1.0
resolutiondate,str,10000,629,0.0629,9371,0.9371
project_key,str,10000,0,0.0,25,0.0025
project_name,str,10000,0,0.0,25,0.0025
issuetype,str,10000,0,0.0,12,0.0012
priority,str,10000,1,0.0001,5,0.0005
status,str,10000,0,0.0,18,0.0018
summary,str,10000,0,0.0,9931,0.9931
description,str,10000,2645,0.2645,7271,0.7271
created_year,int64,10000,0,0.0,18,0.0018
created_month,int64,10000,0,0.0,12,0.0012
is_resolved,int64,10000,0,0.0,2,0.0002
resolution_valid,int64,10000,0,0.0,2,0.0002
time_to_resolution_days,float64,10000,629,0.0629,9371,0.9371
summary_length,int64,10000,0,0.0,179,0.0179
description_length,int64,10000,0,0.0,1673,0.1673
has_description,int64,10000,0,0.0,2,0.0002
late_threshold_days,float64,10000,0,0.0,1,0.0001
late_resolution,float64,10000,629,0.0629,2,0.0002
