rows,threshold,positive_rate_true,positive_rate_predicted,precision,recall,f1,fpr,fnr,pr_auc,roc_auc,brier_score,ece,strategy,group_value
84,0.25,0.39285714285714285,0.5833333333333334,0.6530612244897959,0.9696969696969697,0.7804878048780488,0.3333333333333333,0.030303030303030304,0.7535521829999303,0.8805704099821747,0.1495996378085382,0.13618052025440755,baseline,PLVS
92,0.25,0.21739130434782608,0.5434782608695652,0.24,0.6,0.34285714285714286,0.5277777777777778,0.4,0.27916289015709705,0.5597222222222222,0.17884568162092507,0.07359304310092471,baseline,REFAPP
82,0.25,0.2682926829268293,0.7317073170731707,0.35,0.9545454545454546,0.5121951219512195,0.65,0.045454545454545456,0.3982157172860644,0.7037878787878789,0.18229489868706636,0.08963475112417799,baseline,REST
54,0.25,0.4074074074074074,0.9259259259259259,0.42,0.9545454545454546,0.5833333333333334,0.90625,0.045454545454545456,0.6463403023672967,0.6860795454545454,0.21931110989821395,0.10353664575731855,baseline,SAL
25,0.25,0.48,1.0,0.48,1.0,0.6486486486486487,1.0,0.0,0.6846815092945123,0.6602564102564102,0.22179550809337692,0.12144563576127036,baseline,SCANNER
57,0.25,0.40350877192982454,1.0,0.40350877192982454,1.0,0.575,1.0,0.0,0.6918710994542004,0.7404092071611253,0.21010066022557886,0.11222428512257264,baseline,SELENIUM
24,0.25,0.16666666666666666,0.625,0.26666666666666666,1.0,0.42105263157894735,0.55,0.0,0.34935897435897434,0.6875,0.14627659000248697,0.13209409253557047,baseline,SOY
25,0.25,0.08,0.04,0.0,0.0,0.0,0.043478260869565216,1.0,0.16666666666666666,0.673913043478261,0.0790145845902411,0.07324981312117912,baseline,SPEAKEASY
120,0.25,0.18333333333333332,0.24166666666666667,0.4482758620689655,0.5909090909090909,0.5098039215686274,0.16326530612244897,0.4090909090909091,0.6026564950664252,0.8093692022263451,0.11760816253922558,0.08111406723915954,baseline,SPFE
455,0.25,0.23736263736263735,0.34725274725274724,0.3924050632911392,0.5740740740740741,0.46616541353383456,0.276657060518732,0.42592592592592593,0.4433284772380107,0.7172990714056996,0.16186528069735506,0.02796635443929968,baseline,STRM
34,0.25,0.3235294117647059,0.7647058823529411,0.4230769230769231,1.0,0.5945945945945946,0.6521739130434783,0.0,0.7046022817761949,0.766798418972332,0.17921876113779178,0.20601187836442897,baseline,SVN
750,0.25,0.23333333333333334,0.32133333333333336,0.45228215767634855,0.6228571428571429,0.5240384615384616,0.22956521739130434,0.37714285714285717,0.5028363908118993,0.7598807453416149,0.15164265977581218,0.038580293291526284,baseline,UPM
84,0.25,0.39285714285714285,0.7142857142857143,0.55,1.0,0.7096774193548387,0.5294117647058824,0.0,0.746932199516009,0.8740344622697565,0.14759241160888317,0.11627963896835929,class_weight_balanced,PLVS
92,0.25,0.21739130434782608,0.9130434782608695,0.2261904761904762,0.95,0.36538461538461536,0.9027777777777778,0.05,0.2872434966034222,0.5840277777777778,0.2276472705324806,0.23842344624410974,class_weight_balanced,REFAPP
82,0.25,0.2682926829268293,0.9512195121951219,0.28205128205128205,1.0,0.44,0.9333333333333333,0.0,0.3914218308119929,0.6863636363636363,0.2288827701965969,0.22336432228908415,class_weight_balanced,REST
54,0.25,0.4074074074074074,0.9814814814814815,0.41509433962264153,1.0,0.5866666666666667,0.96875,0.0,0.6213244638371291,0.684659090909091,0.2561021625992981,0.19976290105684424,class_weight_balanced,SAL
25,0.25,0.48,1.0,0.48,1.0,0.6486486486486487,1.0,0.0,0.6169002981309483,0.6089743589743589,0.25783097271111904,0.17403674004716482,class_weight_balanced,SCANNER
57,0.25,0.40350877192982454,1.0,0.40350877192982454,1.0,0.575,1.0,0.0,0.6859824052088889,0.7391304347826088,0.2627732280425407,0.23865800481318195,class_weight_balanced,SELENIUM
24,0.25,0.16666666666666666,1.0,0.16666666666666666,1.0,0.2857142857142857,1.0,0.0,0.4833333333333333,0.7374999999999999,0.21457829199658243,0.2972594112955169,class_weight_balanced,SOY
25,0.25,0.08,0.04,0.0,0.0,0.0,0.043478260869565216,1.0,0.22619047619047616,0.782608695652174,0.08058673571328677,0.11271012143308477,class_weight_balanced,SPEAKEASY
120,0.25,0.18333333333333332,0.5583333333333333,0.29850746268656714,0.9090909090909091,0.449438202247191,0.47959183673469385,0.09090909090909091,0.600675779691349,0.827922077922078,0.12897522760948404,0.15109539600239824,class_weight_balanced,SPFE
455,0.25,0.23736263736263735,0.7406593406593407,0.29673590504451036,0.9259259259259259,0.449438202247191,0.6829971181556196,0.07407407407407407,0.4543411315604057,0.721088163091045,0.17928366692507086,0.13827027172281414,class_weight_balanced,STRM
34,0.25,0.3235294117647059,0.9411764705882353,0.34375,1.0,0.5116279069767442,0.9130434782608695,0.0,0.7326970479725653,0.7470355731225296,0.21733932711712434,0.2170259708318505,class_weight_balanced,SVN
750,0.25,0.23333333333333334,0.6586666666666666,0.3117408906882591,0.88,0.46038863976083705,0.591304347826087,0.12,0.5110712061055215,0.7672645962732919,0.16194136754515337,0.11448601852583201,class_weight_balanced,UPM
84,0.25,0.39285714285714285,0.5833333333333334,0.6326530612244898,0.9393939393939394,0.7560975609756098,0.35294117647058826,0.06060606060606061,0.7653777589061713,0.8716577540106952,0.1522006206862502,0.103210258405262,group_reweighting,PLVS
92,0.25,0.21739130434782608,0.6413043478260869,0.2542372881355932,0.75,0.379746835443038,0.6111111111111112,0.25,0.2626611586660361,0.5527777777777778,0.17954533839965184,0.07256986761575031,group_reweighting,REFAPP
82,0.25,0.2682926829268293,0.7560975609756098,0.3064516129032258,0.8636363636363636,0.4523809523809524,0.7166666666666667,0.13636363636363635,0.40309754690984734,0.6651515151515152,0.18610643268945215,0.07262754836977091,group_reweighting,REST
54,0.25,0.4074074074074074,0.9259259259259259,0.42,0.9545454545454546,0.5833333333333334,0.90625,0.045454545454545456,0.5634351236027092,0.6448863636363635,0.22771679601662023,0.07286612191138848,group_reweighting,SAL
25,0.25,0.48,1.0,0.48,1.0,0.6486486486486487,1.0,0.0,0.7365495547480843,0.7115384615384616,0.2157978584531959,0.1974587258039504,group_reweighting,SCANNER
57,0.25,0.40350877192982454,1.0,0.40350877192982454,1.0,0.575,1.0,0.0,0.6797872233402047,0.7225063938618925,0.21340868442125407,0.09472586147095584,group_reweighting,SELENIUM
24,0.25,0.16666666666666666,0.75,0.16666666666666666,0.75,0.2727272727272727,0.75,0.25,0.28816526610644255,0.5375000000000001,0.16003863582835728,0.1780771284163898,group_reweighting,SOY
25,0.25,0.08,0.04,0.0,0.0,0.0,0.043478260869565216,1.0,0.19642857142857142,0.7391304347826086,0.07739172608195409,0.055378676842117516,group_reweighting,SPEAKEASY
120,0.25,0.18333333333333332,0.275,0.42424242424242425,0.6363636363636364,0.509090909090909,0.19387755102040816,0.36363636363636365,0.5927119337857265,0.7982374768089054,0.12349797165521492,0.06292803996654822,group_reweighting,SPFE
455,0.25,0.23736263736263735,0.389010989010989,0.3728813559322034,0.6111111111111112,0.4631578947368421,0.31988472622478387,0.3888888888888889,0.43993159253808334,0.709961041733376,0.16266716977653678,0.03154874061170978,group_reweighting,STRM
34,0.25,0.3235294117647059,0.7941176470588235,0.4074074074074074,1.0,0.5789473684210527,0.6956521739130435,0.0,0.7357246947167897,0.7865612648221343,0.17880762918066617,0.13540070561091852,group_reweighting,SVN
750,0.25,0.23333333333333334,0.3626666666666667,0.41911764705882354,0.6514285714285715,0.5100671140939598,0.2747826086956522,0.3485714285714286,0.5081547265173187,0.7552099378881987,0.15298436678256194,0.0555007560262177,group_reweighting,UPM
84,0.25,0.39285714285714285,0.6785714285714286,0.5789473684210527,1.0,0.7333333333333333,0.47058823529411764,0.0,0.7883983312741212,0.8764111705288176,0.14724604002606476,0.08930476932491282,group_class_reweighting,PLVS
92,0.25,0.21739130434782608,0.8804347826086957,0.2222222222222222,0.9,0.3564356435643564,0.875,0.1,0.2876576508258033,0.5722222222222222,0.21310989674338215,0.1965340247611076,group_class_reweighting,REFAPP
82,0.25,0.2682926829268293,0.8902439024390244,0.3013698630136986,1.0,0.4631578947368421,0.85,0.0,0.44664313473633055,0.7098484848484848,0.2020090484417836,0.16169120360611286,group_class_reweighting,REST
54,0.25,0.4074074074074074,0.9444444444444444,0.43137254901960786,1.0,0.6027397260273972,0.90625,0.0,0.5830244294211218,0.6278409090909092,0.23405528848890486,0.11886019075544946,group_class_reweighting,SAL
25,0.25,0.48,1.0,0.48,1.0,0.6486486486486487,1.0,0.0,0.7238351857837152,0.6858974358974359,0.2186172777914803,0.22695552393148472,group_class_reweighting,SCANNER
57,0.25,0.40350877192982454,0.8771929824561403,0.44,0.9565217391304348,0.6027397260273972,0.8235294117647058,0.043478260869565216,0.6624601298861243,0.7097186700767263,0.212612526057053,0.1191761438778782,group_class_reweighting,SELENIUM
24,0.25,0.16666666666666666,0.875,0.19047619047619047,1.0,0.32,0.85,0.0,0.446875,0.6,0.20292835111249238,0.25501059413783717,group_class_reweighting,SOY
25,0.25,0.08,0.2,0.0,0.0,0.0,0.21739130434782608,1.0,0.22619047619047616,0.782608695652174,0.08752923657110542,0.1350203384414799,group_class_reweighting,SPEAKEASY
120,0.25,0.18333333333333332,0.7916666666666666,0.23157894736842105,1.0,0.37606837606837606,0.7448979591836735,0.0,0.609761378798891,0.8288497217068646,0.1507879455514609,0.21522931389737018,group_class_reweighting,SPFE
455,0.25,0.23736263736263735,0.7934065934065934,0.2853185595567867,0.9537037037037037,0.43923240938166314,0.7435158501440923,0.046296296296296294,0.45038464876675155,0.7140703383498772,0.18464854292959557,0.15398853025671383,group_class_reweighting,STRM
34,0.25,0.3235294117647059,0.8823529411764706,0.36666666666666664,1.0,0.5365853658536586,0.8260869565217391,0.0,0.658054093122743,0.782608695652174,0.1945974984497817,0.1629124557326313,group_class_reweighting,SVN
750,0.25,0.23333333333333334,0.8133333333333334,0.2721311475409836,0.9485714285714286,0.4229299363057325,0.7721739130434783,0.05142857142857143,0.5030853183841861,0.7568894409937889,0.17621439571692143,0.15698004459160902,group_class_reweighting,UPM
84,0.25,0.39285714285714285,0.5833333333333334,0.6530612244897959,0.9696969696969697,0.7804878048780488,0.3333333333333333,0.030303030303030304,0.7535521829999303,0.8805704099821747,0.1495996378085382,0.13618052025440755,global_threshold_best_f1,PLVS
92,0.25,0.21739130434782608,0.5434782608695652,0.24,0.6,0.34285714285714286,0.5277777777777778,0.4,0.27916289015709705,0.5597222222222222,0.17884568162092507,0.07359304310092471,global_threshold_best_f1,REFAPP
82,0.25,0.2682926829268293,0.7317073170731707,0.35,0.9545454545454546,0.5121951219512195,0.65,0.045454545454545456,0.3982157172860644,0.7037878787878789,0.18229489868706636,0.08963475112417799,global_threshold_best_f1,REST
54,0.25,0.4074074074074074,0.9259259259259259,0.42,0.9545454545454546,0.5833333333333334,0.90625,0.045454545454545456,0.6463403023672967,0.6860795454545454,0.21931110989821395,0.10353664575731855,global_threshold_best_f1,SAL
25,0.25,0.48,1.0,0.48,1.0,0.6486486486486487,1.0,0.0,0.6846815092945123,0.6602564102564102,0.22179550809337692,0.12144563576127036,global_threshold_best_f1,SCANNER
57,0.25,0.40350877192982454,1.0,0.40350877192982454,1.0,0.575,1.0,0.0,0.6918710994542004,0.7404092071611253,0.21010066022557886,0.11222428512257264,global_threshold_best_f1,SELENIUM
24,0.25,0.16666666666666666,0.625,0.26666666666666666,1.0,0.42105263157894735,0.55,0.0,0.34935897435897434,0.6875,0.14627659000248697,0.13209409253557047,global_threshold_best_f1,SOY
25,0.25,0.08,0.04,0.0,0.0,0.0,0.043478260869565216,1.0,0.16666666666666666,0.673913043478261,0.0790145845902411,0.07324981312117912,global_threshold_best_f1,SPEAKEASY
120,0.25,0.18333333333333332,0.24166666666666667,0.4482758620689655,0.5909090909090909,0.5098039215686274,0.16326530612244897,0.4090909090909091,0.6026564950664252,0.8093692022263451,0.11760816253922558,0.08111406723915954,global_threshold_best_f1,SPFE
455,0.25,0.23736263736263735,0.34725274725274724,0.3924050632911392,0.5740740740740741,0.46616541353383456,0.276657060518732,0.42592592592592593,0.4433284772380107,0.7172990714056996,0.16186528069735506,0.02796635443929968,global_threshold_best_f1,STRM
34,0.25,0.3235294117647059,0.7647058823529411,0.4230769230769231,1.0,0.5945945945945946,0.6521739130434783,0.0,0.7046022817761949,0.766798418972332,0.17921876113779178,0.20601187836442897,global_threshold_best_f1,SVN
750,0.25,0.23333333333333334,0.32133333333333336,0.45228215767634855,0.6228571428571429,0.5240384615384616,0.22956521739130434,0.37714285714285717,0.5028363908118993,0.7598807453416149,0.15164265977581218,0.038580293291526284,global_threshold_best_f1,UPM
