scenario,metric,absolute_gap,min_value,max_value
baseline,precision,0.6530612244897959,0.0,0.6530612244897959
baseline,recall,1.0,0.0,1.0
baseline,f1,0.7804878048780488,0.0,0.7804878048780488
baseline,fpr,0.9565217391304348,0.043478260869565216,1.0
baseline,fnr,1.0,0.0,1.0
baseline,ece,0.1780455239251293,0.02796635443929968,0.20601187836442897
baseline,brier_score,0.14278092350313581,0.0790145845902411,0.22179550809337692
historical_label_bias_majority,precision,0.6666666666666666,0.0,0.6666666666666666
historical_label_bias_majority,recall,1.0,0.0,1.0
historical_label_bias_majority,f1,0.7901234567901234,0.0,0.7901234567901234
historical_label_bias_majority,fpr,0.9565217391304348,0.043478260869565216,1.0
historical_label_bias_majority,fnr,1.0,0.0,1.0
historical_label_bias_majority,ece,0.1876271831066264,0.03376171913088545,0.22138890223751187
historical_label_bias_majority,brier_score,0.14856367720430472,0.07940615629502817,0.2279698334993329
historical_label_bias_minority,precision,0.6530612244897959,0.0,0.6530612244897959
historical_label_bias_minority,recall,1.0,0.0,1.0
historical_label_bias_minority,f1,0.7804878048780488,0.0,0.7804878048780488
historical_label_bias_minority,fpr,0.9565217391304348,0.043478260869565216,1.0
historical_label_bias_minority,fnr,1.0,0.0,1.0
historical_label_bias_minority,ece,0.1780455239251293,0.027966354439299686,0.20601187836442897
historical_label_bias_minority,brier_score,0.14278092350313581,0.0790145845902411,0.22179550809337692
measurement_bias_description_loss,precision,0.6470588235294118,0.0,0.6470588235294118
measurement_bias_description_loss,recall,1.0,0.0,1.0
measurement_bias_description_loss,f1,0.7857142857142857,0.0,0.7857142857142857
measurement_bias_description_loss,fpr,0.9565217391304348,0.043478260869565216,1.0
measurement_bias_description_loss,fnr,1.0,0.0,1.0
measurement_bias_description_loss,ece,0.1782352419675721,0.024217928496401333,0.20245317046397343
measurement_bias_description_loss,brier_score,0.14679693535000077,0.07853996318591043,0.2253368985359112
measurement_bias_priority_missing,precision,0.6530612244897959,0.0,0.6530612244897959
measurement_bias_priority_missing,recall,1.0,0.0,1.0
measurement_bias_priority_missing,f1,0.7804878048780488,0.0,0.7804878048780488
measurement_bias_priority_missing,fpr,0.9565217391304348,0.043478260869565216,1.0
measurement_bias_priority_missing,fnr,1.0,0.0,1.0
measurement_bias_priority_missing,ece,0.1780455239251293,0.027966354439299686,0.20601187836442897
measurement_bias_priority_missing,brier_score,0.14278092350313581,0.0790145845902411,0.22179550809337692
sample_bias_underrepresent_minority,precision,0.6274509803921569,0.0,0.6274509803921569
sample_bias_underrepresent_minority,recall,1.0,0.0,1.0
sample_bias_underrepresent_minority,f1,0.7619047619047619,0.0,0.7619047619047619
sample_bias_underrepresent_minority,fpr,0.9565217391304348,0.043478260869565216,1.0
sample_bias_underrepresent_minority,fnr,1.0,0.0,1.0
sample_bias_underrepresent_minority,ece,0.20427306237013507,0.030064113419584166,0.23433717578971924
sample_bias_underrepresent_minority,brier_score,0.14089202567423137,0.07894861220504613,0.21984063787927752
