scenario,description,degradation_type,degradation_rate,threshold,train_rows,test_rows,train_positive_rate,test_positive_rate,positive_rate_predicted,precision,recall,f1,pr_auc,brier_score,ece,roc_auc,delta_precision,delta_recall,delta_f1,delta_pr_auc,delta_brier_score,delta_ece,delta_roc_auc
baseline,"Datos originales preparados, sin degradación artificial.",none,0.0,0.25,7496,1875,0.25,0.2501333333333333,0.41333333333333333,0.4180645161290323,0.6908315565031983,0.5209003215434084,0.49433318860756376,0.16188872144046315,0.036321197861338916,0.7439446235597059,0.0,0.0,0.0,0.0,0.0,0.0,0.0
priority_null_10,Se elimina priority en el 10% de train y test.,priority_null,0.1,0.25,7496,1875,0.25,0.2501333333333333,0.4149333333333333,0.41131105398457585,0.6823027718550106,0.5132317562149158,0.48786699070160167,0.16302865843846367,0.041047536355799115,0.7383002180724099,-0.006753462144456435,-0.008528784648187626,-0.0076685653284925825,-0.00646619790596209,0.0011399369980005236,0.0047263384944601985,-0.005644405487296056
priority_null_20,Se elimina priority en el 20% de train y test.,priority_null,0.2,0.25,7496,1875,0.25,0.2501333333333333,0.41386666666666666,0.40463917525773196,0.6695095948827292,0.5044176706827309,0.4785194409922196,0.16538099207085238,0.044223008648996094,0.7323449304988976,-0.013425340871300318,-0.021321961620469065,-0.01648265086067746,-0.015813747615344154,0.0034922706303892326,0.007901810787657178,-0.011599693060808325
priority_null_30,Se elimina priority en el 30% de train y test.,priority_null,0.3,0.25,7496,1875,0.25,0.2501333333333333,0.4186666666666667,0.41146496815286626,0.6886993603411514,0.5151515151515151,0.4953589279165478,0.161324329402457,0.036736214922759705,0.7437823582756812,-0.00659954797616602,-0.002132196162046851,-0.005748806391893235,0.0010257393089840305,-0.0005643920380061507,0.00041501706142078876,-0.00016226528402474294
description_loss_20,Se simula pérdida textual en el 20% de train y test poniendo description_length=0 y has_description=0.,description_loss,0.2,0.25,7496,1875,0.25,0.2501333333333333,0.4090666666666667,0.4015645371577575,0.6567164179104478,0.49838187702265374,0.47533921784308064,0.16746256320941363,0.05710345333283119,0.7269340657007586,-0.01649997897127481,-0.034115138592750505,-0.022518444520754632,-0.018993970764483115,0.005573841768950483,0.020782255471492275,-0.01701055785894734
description_loss_40,Se simula pérdida textual en el 40% de train y test poniendo description_length=0 y has_description=0.,description_loss,0.4,0.25,7496,1875,0.25,0.2501333333333333,0.3989333333333333,0.39438502673796794,0.6289978678038379,0.4847986852917009,0.45021814533775506,0.17207088162549705,0.06670217119373542,0.7166901218354479,-0.023679489391064346,-0.061833688699360345,-0.03610163625170748,-0.044115043269808696,0.0101821601850339,0.030380973332396505,-0.02725450172425803
priority_noise_20,Se cambia aleatoriamente priority en el 20% de train y test.,priority_noise,0.2,0.25,7496,1875,0.25,0.2501333333333333,0.4149333333333333,0.4087403598971722,0.6780383795309168,0.5100240577385726,0.4719961475436757,0.16531741226123253,0.03564228920983094,0.7290700531077594,-0.009324156231860059,-0.01279317697228144,-0.01087626380483575,-0.022337041063888063,0.003428690820769381,-0.0006789086515079784,-0.014874570451946512
priority_noise_40,Se cambia aleatoriamente priority en el 40% de train y test.,priority_noise,0.4,0.25,7496,1875,0.25,0.2501333333333333,0.4165333333333333,0.382842509603073,0.6375266524520256,0.4784,0.4516062216630611,0.17016649281657034,0.045347671042631224,0.7080839957902018,-0.035222006525959304,-0.05330490405117272,-0.04250032154340838,-0.042726966944502676,0.00827777137610719,0.009026473181292308,-0.03586062776950416
positive_class_undersample_50,Se conserva solo el 50% de ejemplos positivos en entrenamiento; el test no se altera.,positive_undersample_train,0.5,0.25,6551,1875,0.14181041062433217,0.2501333333333333,0.21546666666666667,0.49504950495049505,0.42643923240938164,0.4581901489117984,0.4641308270662159,0.17498996355428653,0.10185839187423709,0.7285051576096352,0.07698498882146276,-0.26439232409381663,-0.06271017263161,-0.030202361541347866,0.01310124211382338,0.06553719401289818,-0.01543946595007073
