scenario,degradation_type,degradation_rate,precision,recall,f1,pr_auc,brier_score,ece,roc_auc,delta_f1,delta_recall,delta_ece
baseline,none,0.0,0.4180645161290323,0.6908315565031983,0.5209003215434084,0.49433318860756376,0.16188872144046315,0.036321197861338916,0.7439446235597059,0.0,0.0,0.0
priority_null_10,priority_null,0.1,0.41131105398457585,0.6823027718550106,0.5132317562149158,0.48786699070160167,0.16302865843846367,0.041047536355799115,0.7383002180724099,-0.0076685653284925825,-0.008528784648187626,0.0047263384944601985
priority_null_20,priority_null,0.2,0.40463917525773196,0.6695095948827292,0.5044176706827309,0.4785194409922196,0.16538099207085238,0.044223008648996094,0.7323449304988976,-0.01648265086067746,-0.021321961620469065,0.007901810787657178
priority_null_30,priority_null,0.3,0.41146496815286626,0.6886993603411514,0.5151515151515151,0.4953589279165478,0.161324329402457,0.036736214922759705,0.7437823582756812,-0.005748806391893235,-0.002132196162046851,0.00041501706142078876
description_loss_20,description_loss,0.2,0.4015645371577575,0.6567164179104478,0.49838187702265374,0.47533921784308064,0.16746256320941363,0.05710345333283119,0.7269340657007586,-0.022518444520754632,-0.034115138592750505,0.020782255471492275
description_loss_40,description_loss,0.4,0.39438502673796794,0.6289978678038379,0.4847986852917009,0.45021814533775506,0.17207088162549705,0.06670217119373542,0.7166901218354479,-0.03610163625170748,-0.061833688699360345,0.030380973332396505
priority_noise_20,priority_noise,0.2,0.4087403598971722,0.6780383795309168,0.5100240577385726,0.4719961475436757,0.16531741226123253,0.03564228920983094,0.7290700531077594,-0.01087626380483575,-0.01279317697228144,-0.0006789086515079784
priority_noise_40,priority_noise,0.4,0.382842509603073,0.6375266524520256,0.4784,0.4516062216630611,0.17016649281657034,0.045347671042631224,0.7080839957902018,-0.04250032154340838,-0.05330490405117272,0.009026473181292308
positive_class_undersample_50,positive_undersample_train,0.5,0.49504950495049505,0.42643923240938164,0.4581901489117984,0.4641308270662159,0.17498996355428653,0.10185839187423709,0.7285051576096352,-0.06271017263161,-0.26439232409381663,0.06553719401289818
