column,value,train_rate,test_rate,delta_rate,abs_delta_rate
issuetype,Task,0.13056260857944674,0.290753607696419,0.16019099911697227,0.16019099911697227
issuetype,Bug,0.4935186422557798,0.38161411010155,-0.1119045321542298,0.1119045321542298
issuetype,Improvement,0.18815982894561004,0.13361838588989844,-0.0545414430557116,0.0545414430557116
issuetype,Sub-task,0.09407991447280502,0.053981827899518976,-0.04009808657328604,0.04009808657328604
issuetype,Story,0.04329814245623413,0.06787814003206841,0.024579997575834275,0.024579997575834275
issuetype,New Feature,0.04356541494053187,0.055050774986638164,0.011485360046106292,0.011485360046106292
issuetype,Epic,0.0016036349057864494,0.011758417958311064,0.010154783052524615,0.010154783052524615
issuetype,Support Request,0.002806361085126286,0.0,-0.002806361085126286,0.002806361085126286
issuetype,Documentation,0.002405452358679674,0.0037413148049171567,0.0013358624462374829,0.0013358624462374829
issuetype,Plugin Release Request,0.0,0.0005344735435595938,0.0005344735435595938,0.0005344735435595938
issuetype,Pricing Change,0.0,0.0005344735435595938,0.0005344735435595938,0.0005344735435595938
issuetype,Technical Debt,0.0,0.0005344735435595938,0.0005344735435595938,0.0005344735435595938
priority,Minor,0.12468261392489643,0.18599679315873865,0.06131417923384222,0.06131417923384222
priority,Major,0.7364693304824268,0.6771779796900054,-0.05929135079242143,0.05929135079242143
priority,Trivial,0.021649071228117066,0.016568679850347406,-0.005080391377769659,0.005080391377769659
priority,Critical,0.07991447280502473,0.08498129342597542,0.005066820620950693,0.005066820620950693
priority,Blocker,0.037150875317386076,0.03527525387493319,-0.0018756214424528878,0.0018756214424528878
priority,__NULL__,0.00013363624214887077,0.0,-0.00013363624214887077,0.00013363624214887077
project_key,SPFE,0.0,0.2923570283270978,0.2923570283270978,0.2923570283270978
project_key,STRM,0.28892155552585863,0.04168893639764832,-0.24723261912821032,0.24723261912821032
project_key,UPM,0.43739142055325403,0.22768572955638697,-0.20970569099686706,0.20970569099686706
project_key,VCACHE,0.0,0.05344735435595938,0.05344735435595938,0.05344735435595938
project_key,PLVS,0.05652813042897234,0.009620523784072688,-0.04690760664489965,0.04690760664489965
project_key,SCANNER,0.002271816116530803,0.04703367183324426,0.044761855716713456,0.044761855716713456
project_key,SOY,0.006681812107443539,0.04436130411544629,0.037679492008002746,0.037679492008002746
project_key,REST,0.03527996792730188,0.059326563335114914,0.02404659540781303,0.02404659540781303
project_key,SAL,0.03367633302151544,0.05344735435595938,0.019771021334443944,0.019771021334443944
project_key,REFAPP,0.04864359214218896,0.06787814003206841,0.019234547889879446,0.019234547889879446
project_key,WEBHOOKS,0.007216357076039022,0.025654730090860504,0.018438373014821482,0.018438373014821482
project_key,SPEAKEASY,0.014967259120673527,0.0,-0.014967259120673527,0.014967259120673527
project_key,PRETTY,0.0010690899371909662,0.011758417958311064,0.010689328021120098,0.010689328021120098
project_key,SVN,0.018575437658693038,0.010689470871191877,-0.007885966787501161,0.007885966787501161
project_key,VOTE,0.00681544834959241,0.0,-0.00681544834959241,0.00681544834959241
project_key,QR,0.0,0.006413682522715126,0.006413682522715126,0.006413682522715126
project_key,RAB,0.0,0.004810261892036344,0.004810261892036344,0.004810261892036344
project_key,VHS,0.0021381798743819323,0.006413682522715126,0.004275502648333193,0.004275502648333193
project_key,PTRUNNER,0.0025390886008285446,0.005879208979155532,0.0033401203783269876,0.0033401203783269876
project_key,SNIP,0.002405452358679674,0.0,-0.002405452358679674,0.002405452358679674
project_key,SELENIUM,0.031939061873580116,0.030464991982896848,-0.0014740698906832682,0.0014740698906832682
project_key,TOC,0.0013363624214887077,0.0,-0.0013363624214887077,0.0013363624214887077
project_key,USGTRK,0.0005345449685954831,0.0,-0.0005345449685954831,0.0005345449685954831
project_key,WLC,0.0010690899371909662,0.0010689470871191875,-1.4285007177866106e-07,1.4285007177866106e-07
