created_year,created_month,issues_count
2004,11,10
2004,12,3
2005,1,2
2005,2,3
2005,3,1
2005,4,2
2005,5,3
2005,6,3
2005,7,4
2005,8,3
2005,9,4
2005,10,4
2005,11,7
2005,12,3
2006,1,4
2006,2,3
2006,3,2
2006,4,1
2006,5,6
2006,6,3
2006,7,2
2006,8,1
2006,9,6
2006,10,1
2006,11,1
2006,12,9
2007,1,5
2007,2,1
2007,3,3
2007,4,6
2007,5,2
2007,6,4
2007,7,6
2007,8,4
2007,9,5
2007,10,3
2007,12,14
2008,1,52
2008,2,33
2008,3,17
2008,4,50
2008,5,17
2008,6,6
2008,7,10
2008,8,12
2008,9,21
2008,10,12
2008,11,5
2008,12,11
2009,1,24
2009,2,20
2009,3,19
2009,4,49
2009,5,105
2009,6,19
2009,7,20
2009,8,28
2009,9,41
2009,10,35
2009,11,24
2009,12,25
2010,1,33
2010,2,69
2010,3,182
2010,4,158
2010,5,205
2010,6,190
2010,7,179
2010,8,210
2010,9,137
2010,10,131
2010,11,199
2010,12,164
2011,1,291
2011,2,230
2011,3,316
2011,4,222
2011,5,200
2011,6,146
2011,7,191
2011,8,250
2011,9,146
2011,10,150
2011,11,145
2011,12,148
2012,1,150
2012,2,153
2012,3,101
2012,4,73
2012,5,210
2012,6,100
2012,7,168
2012,8,120
2012,9,138
2012,10,116
2012,11,132
2012,12,151
2013,1,135
2013,2,79
2013,3,85
2013,4,79
2013,5,62
2013,6,68
2013,7,73
2013,8,57
2013,9,38
2013,10,76
2013,11,54
2013,12,33
2014,1,35
2014,2,52
2014,3,38
2014,4,40
2014,5,29
2014,6,34
2014,7,85
2014,8,48
2014,9,29
2014,10,43
2014,11,27
2014,12,43
2015,1,37
2015,2,40
2015,3,46
2015,4,38
2015,5,55
2015,6,35
2015,7,50
2015,8,55
2015,9,50
2015,10,29
2015,11,30
2015,12,20
2016,1,23
2016,2,44
2016,3,40
2016,4,34
2016,5,27
2016,6,29
2016,7,25
2016,8,34
2016,9,19
2016,10,17
2016,11,42
2016,12,16
2017,1,11
2017,2,19
2017,3,12
2017,4,2
2017,5,6
2017,6,8
2017,7,7
2017,8,8
2017,9,7
2017,10,4
2017,11,14
2017,12,9
2018,1,6
2018,2,3
2018,3,11
2018,4,8
2018,5,9
2018,6,8
2018,7,6
2018,8,7
2018,9,8
2018,10,4
2018,11,5
2018,12,7
2019,1,4
2019,2,10
2019,3,24
2019,4,31
2019,5,16
2019,6,12
2019,7,14
2019,8,18
2019,9,6
2019,10,9
2019,11,6
2019,12,1
2020,1,3
2020,2,9
2020,3,1
2020,4,1
2020,5,7
2020,6,8
2020,7,25
2020,8,20
2020,9,30
2020,10,69
2020,11,28
2020,12,22
2021,1,44
2021,2,59
2021,3,42
2021,4,30
2021,5,71
2021,6,41
2021,7,59
2021,8,52
2021,9,90
2021,10,41
2021,11,23
2021,12,5
